cve_id,actual_score,predicted_score,residual,abs_residual,flagged,severity_band
CVE-2005-0059,10.0,8.4086,1.5914,1.5914,True,CRITICAL
CVE-2014-4227,10.0,8.4128,1.5872,1.5872,True,CRITICAL
CVE-2015-2012,4.0,5.5851,-1.5851,1.5851,True,MEDIUM
CVE-2014-7990,6.8,5.2168,1.5832,1.5832,True,MEDIUM
CVE-2013-2380,10.0,8.4177,1.5823,1.5823,True,CRITICAL
CVE-2015-5125,10.0,8.4183,1.5817,1.5817,True,CRITICAL
CVE-2014-3085,7.1,8.6805,-1.5805,1.5805,True,HIGH
CVE-2025-53905,4.1,5.679,-1.579,1.579,True,MEDIUM
CVE-2021-4117,4.3,5.876,-1.576,1.576,True,MEDIUM
CVE-2014-3829,10.0,8.424,1.576,1.576,True,CRITICAL
CVE-2019-8243,4.3,5.8753,-1.5753,1.5753,True,MEDIUM
CVE-2015-6479,4.3,5.8741,-1.5741,1.5741,True,MEDIUM
CVE-2011-0404,7.5,9.0731,-1.5731,1.5731,True,HIGH
CVE-2012-1521,6.8,5.2304,1.5696,1.5696,True,MEDIUM
CVE-2006-5598,4.3,5.8693,-1.5693,1.5693,True,MEDIUM
CVE-2014-1681,10.0,8.4362,1.5638,1.5638,True,CRITICAL
CVE-2021-34777,4.3,5.8635,-1.5635,1.5635,True,MEDIUM
CVE-2019-2482,6.5,4.937,1.563,1.563,True,MEDIUM
CVE-2018-1455,4.3,5.8621,-1.5621,1.5621,True,MEDIUM
CVE-2015-0704,6.8,5.2397,1.5603,1.5603,True,MEDIUM
CVE-2011-2680,10.0,8.4399,1.5601,1.5601,True,CRITICAL
CVE-2006-6840,10.0,8.4414,1.5586,1.5586,True,CRITICAL
CVE-2014-9099,6.8,5.2416,1.5584,1.5584,True,MEDIUM
CVE-2024-44112,4.3,5.8536,-1.5536,1.5536,True,MEDIUM
CVE-2006-7015,10.0,8.4473,1.5527,1.5527,True,CRITICAL
CVE-2007-5116,7.5,9.0469,-1.5469,1.5469,True,HIGH
CVE-2011-0009,4.3,5.843,-1.543,1.543,True,MEDIUM
CVE-2014-3298,4.0,5.5397,-1.5397,1.5397,True,MEDIUM
CVE-2013-1293,6.9,5.3623,1.5377,1.5377,True,MEDIUM
CVE-2024-34633,4.0,5.5351,-1.5351,1.5351,True,MEDIUM
CVE-2008-1767,7.5,9.0348,-1.5348,1.5348,True,HIGH
CVE-2004-0621,10.0,8.4662,1.5338,1.5338,True,CRITICAL
CVE-2023-0530,4.7,6.2305,-1.5305,1.5305,True,MEDIUM
CVE-2021-41617,7.0,8.5298,-1.5298,1.5298,True,HIGH
CVE-2015-2769,6.8,5.2715,1.5285,1.5285,True,MEDIUM
CVE-2008-1662,10.0,8.4718,1.5282,1.5282,True,CRITICAL
CVE-2023-41988,6.8,5.2725,1.5275,1.5275,True,MEDIUM
CVE-2014-5361,6.8,5.273,1.527,1.527,True,MEDIUM
CVE-2012-3532,6.8,5.2761,1.5239,1.5239,True,MEDIUM
CVE-2021-3957,4.3,5.8227,-1.5227,1.5227,True,MEDIUM
CVE-2008-4208,10.0,8.4792,1.5208,1.5208,True,CRITICAL
CVE-2012-3343,6.8,5.2827,1.5173,1.5173,True,MEDIUM
CVE-2012-2750,10.0,8.4841,1.5159,1.5159,True,CRITICAL
CVE-2024-37387,4.0,5.5113,-1.5113,1.5113,True,MEDIUM
CVE-2011-4861,10.0,8.489,1.511,1.511,True,CRITICAL
CVE-2015-1671,7.8,9.3102,-1.5102,1.5102,True,HIGH
CVE-2009-1182,7.5,9.0097,-1.5097,1.5097,True,HIGH
CVE-2019-9695,6.8,5.2927,1.5073,1.5073,True,MEDIUM
CVE-2007-3643,10.0,8.4938,1.5062,1.5062,True,CRITICAL
CVE-2013-2189,6.8,5.294,1.506,1.506,True,MEDIUM
CVE-2021-25461,4.0,5.5042,-1.5042,1.5042,True,MEDIUM
CVE-2009-0836,10.0,8.4978,1.5022,1.5022,True,CRITICAL
CVE-2025-8641,6.8,5.2985,1.5015,1.5015,True,MEDIUM
CVE-2017-1733,4.0,5.5,-1.5,1.5,True,MEDIUM
CVE-2012-3491,4.0,5.4988,-1.4988,1.4988,True,MEDIUM
CVE-2009-2416,6.5,5.0015,1.4985,1.4985,True,MEDIUM
CVE-2015-2855,4.3,5.7977,-1.4977,1.4977,True,MEDIUM
CVE-2009-4435,6.8,5.3042,1.4958,1.4958,True,MEDIUM
CVE-2022-4587,4.3,5.7958,-1.4958,1.4958,True,MEDIUM
CVE-2007-0397,6.4,4.9051,1.4949,1.4949,True,MEDIUM
CVE-2010-5040,6.8,5.3056,1.4944,1.4944,True,MEDIUM
CVE-2026-2043,8.8,7.3071,1.4929,1.4929,True,HIGH
CVE-2013-1423,6.9,5.4102,1.4898,1.4898,True,MEDIUM
CVE-2006-1114,6.4,4.9106,1.4894,1.4894,True,MEDIUM
CVE-2020-24494,4.4,5.8889,-1.4889,1.4889,True,MEDIUM
CVE-2021-27773,4.2,5.6888,-1.4888,1.4888,True,MEDIUM
CVE-2008-4980,6.9,5.4131,1.4869,1.4869,True,MEDIUM
CVE-2014-2488,1.0,2.4864,-1.4864,1.4864,True,LOW
CVE-2015-0435,6.8,5.3142,1.4858,1.4858,True,MEDIUM
CVE-2024-3023,4.4,5.8853,-1.4853,1.4853,True,MEDIUM
CVE-2013-0871,6.9,5.4173,1.4827,1.4827,True,MEDIUM
CVE-2006-4273,6.8,5.3175,1.4825,1.4825,True,MEDIUM
CVE-2012-1735,6.8,5.32,1.48,1.48,True,MEDIUM
CVE-2021-23259,4.2,5.678,-1.478,1.478,True,MEDIUM
